DeathCountyCountyName,Deaths,DeathRate,SORT
Adams,9,526.9,0
Allen,37,604.4,3
Ashland,20,669.6,6
Ashtabula,37,672.5,9
Athens,15,614.3,12
Auglaize,18,655.3,15
Belmont,22,698.4,18
Brown,23,948.5,21
Butler,161,728.8,24
Carroll,7,513.2,27
Champaign,11,553.9,30
Clark,52,672.1,33
Clermont,75,662.5,36
Clinton,20,866.6,39
Columbiana,29,580.9,42
Coshocton,17,759.6,45
Crawford,14,606.8,48
Cuyahoga,556,799.6,51
Darke,19,613.3,54
Defiance,14,677.3,57
Delaware,36,342.0,60
Erie,32,831.4,63
Fairfield,60,691.8,66
Fayette,10,618.8,69
Franklin,678,737.3,72
Fulton,14,598.8,75
Gallia,14,790.1,78
Geauga,19,411.1,81
Greene,43,503.5,84
Guernsey,23,1054.6,87
Hamilton,431,815.5,90
Hancock,25,571.2,93
Hardin,11,580.2,96
Harrison,5,700.3,99
Henry,9,585.9,102
Highland,24,875.3,105
Hocking,9,611.0,108
Holmes,17,443.9,111
Huron,18,511.2,114
Jackson,11,566.4,117
Jefferson,25,765.0,120
Knox,21,564.7,123
Lake,37,338.3,126
Lawrence,14,460.7,129
Licking,53,536.9,132
Logan,12,445.1,135
Lorain,100,626.2,138
Lucas,245,924.9,141
Madison,13,601.6,144
Mahoning,92,774.5,147
Marion,22,604.2,150
Medina,24,285.2,153
Meigs,5,452.9,156
Mercer,16,512.0,159
Miami,40,674.1,162
Monroe,4,645.2,165
Montgomery,256,794.9,168
Morgan,5,745.2,171
Morrow,9,479.5,174
Muskingum,38,766.9,177
Noble,1,143.7,180
NonOH,0,0.0,183
Ottawa,7,440.5,186
Paulding,5,458.3,189
Perry,7,341.6,192
Pickaway,27,900.0,195
Pike,12,703.4,198
Portage,46,675.6,201
Preble,13,599.1,204
Putnam,11,520.3,207
Richland,47,696.9,210
Ross,28,684.6,213
Sandusky,18,574.5,216
Scioto,42,1031.2,219
Seneca,19,657.4,222
Shelby,12,390.8,225
Stark,139,690.0,228
Summit,188,644.0,231
Trumbull,72,696.2,234
Tuscarawas,40,701.4,237
Union,18,521.1,240
Unknown,1,0.0,243
Van Wert,11,643.7,246
Vinton,5,746.3,249
Warren,57,487.5,252
Washington,20,679.6,255
Wayne,56,763.6,258
Williams,13,627.7,261
Wood,31,479.4,264
Wyandot,3,265.7,267
Total,4625,690.6,273
