county,value,error_margin,z_score
Adams,0.09,8-10%,1.32
Allen,0.1,9-10%,1.65
Ashland,0.06,5-7%,-1.42
Ashtabula,0.08,7-9%,0.26
Athens,0.08,7-9%,0.5
Auglaize,0.07,6-8%,-0.77
Belmont,0.08,8-9%,0.62
Brown,0.08,7-9%,0.04
Butler,0.08,8-8%,0.11
Carroll,0.08,7-10%,0.52
Champaign,0.07,6-8%,-0.28
Clark,0.09,9-10%,1.25
Clermont,0.07,7-8%,-0.28
Clinton,0.08,7-8%,-0.08
Columbiana,0.07,7-8%,-0.16
Coshocton,0.07,6-8%,-0.54
Crawford,0.08,7-9%,0.36
Cuyahoga,0.11,10-11%,2.5
Darke,0.05,5-6%,-1.98
Defiance,0.07,6-8%,-0.65
Delaware,0.06,6-7%,-1.23
Erie,0.08,7-9%,0.42
Fairfield,0.08,8-8%,0.27
Fayette,0.07,6-8%,-0.28
Franklin,0.09,9-9%,1.19
Fulton,0.07,6-8%,-0.77
Gallia,0.1,9-11%,1.73
Geauga,0.06,6-7%,-1.14
Greene,0.07,7-8%,-0.26
Guernsey,0.08,7-9%,0.61
Hamilton,0.1,9-10%,1.6
Hancock,0.08,7-9%,0.29
Hardin,0.07,6-8%,-0.16
Harrison,0.06,5-7%,-1.41
Henry,0.07,6-8%,-0.55
Highland,0.08,7-8%,-0.09
Hocking,0.07,6-8%,-0.54
Holmes,0.04,4-5%,-2.77
Huron,0.07,6-8%,-0.63
Jackson,0.08,7-9%,0.62
Jefferson,0.08,7-9%,0.48
Knox,0.07,6-8%,-0.6
Lake,0.07,7-8%,-0.43
Lawrence,0.09,9-10%,1.48
Licking,0.08,7-8%,-0.02
Logan,0.07,6-8%,-0.59
Lorain,0.08,8-9%,0.63
Lucas,0.1,9-10%,1.74
Madison,0.07,6-8%,-0.31
Mahoning,0.11,10-11%,2.45
Marion,0.08,8-9%,0.67
Medina,0.07,6-7%,-0.95
Meigs,0.09,8-11%,1.3
Mercer,0.05,5-6%,-2.05
Miami,0.06,6-7%,-1.25
Monroe,0.07,6-9%,-0.31
Montgomery,0.09,9-10%,1.33
Morgan,0.06,4-7%,-1.47
Morrow,0.07,6-8%,-0.52
Muskingum,0.08,7-9%,0.31
Noble,0.06,5-8%,-1.12
Ottawa,0.08,7-9%,0.37
Paulding,0.08,6-9%,0
Perry,0.07,6-8%,-0.28
Pickaway,0.07,7-8%,-0.27
Pike,0.09,8-10%,1.06
Portage,0.08,7-8%,0.19
Preble,0.09,8-10%,0.72
Putnam,0.06,6-7%,-1.03
Richland,0.08,7-8%,0.13
Ross,0.09,8-10%,1.04
Sandusky,0.07,7-8%,-0.29
Scioto,0.08,7-9%,0.38
Seneca,0.09,8-10%,0.94
Shelby,0.06,5-7%,-1.22
Stark,0.09,8-9%,0.7
Summit,0.09,9-9%,1.25
Trumbull,0.09,8-9%,0.86
Tuscarawas,0.07,6-8%,-0.51
Union,0.07,6-8%,-0.65
Van Wert,0.08,7-9%,0.35
Vinton,0.08,7-10%,0.64
Warren,0.07,6-7%,-0.67
Washington,0.07,6-8%,-0.53
Wayne,0.06,6-7%,-1.29
Williams,0.06,5-6%,-1.74
Wood,0.07,6-7%,-0.62
Wyandot,0.07,6-9%,-0.19
