DeathCountyCountyName,Deaths,Population,DeathRate,SORT
Adams,11,55062,20.0,0
Allen,48,203960,23.5,3
Ashland,17,106724,15.9,6
Ashtabula,41,193026,21.2,9
Athens,16,130962,12.2,12
Auglaize,13,91360,14.2,15
Belmont,23,131864,17.4,18
Brown,12,86828,13.8,21
Butler,92,771296,11.9,24
Carroll,11,53794,20.4,27
Champaign,9,77920,11.6,30
Clark,66,267186,24.7,33
Clermont,59,414898,14.2,36
Clinton,10,83842,11.9,39
Columbiana,39,202236,19.3,42
Coshocton,18,72898,24.7,45
Crawford,14,82676,16.9,48
Cuyahoga,343,2455766,14.0,51
Darke,17,102410,16.6,54
Defiance,9,75556,11.9,57
Delaware,48,427108,11.2,60
Erie,20,147438,13.6,63
Fairfield,48,319418,15.0,66
Fayette,7,57158,12.2,69
Franklin,311,2649248,11.7,72
Fulton,11,83778,13.1,75
Gallia,13,59604,21.8,78
Geauga,25,186542,13.4,81
Greene,39,340244,11.5,84
Guernsey,15,77558,19.3,87
Hamilton,218,1635970,13.3,90
Hancock,18,150814,11.9,93
Hardin,10,62938,15.9,96
Harrison,8,30028,26.6,99
Henry,4,53808,7.4,102
Highland,15,86608,17.3,105
Hocking,10,56190,17.8,108
Holmes,5,88008,5.7,111
Huron,21,115958,18.1,114
Jackson,11,64986,16.9,117
Jefferson,21,129878,16.2,120
Knox,20,124846,16.0,123
Lake,91,459138,19.8,126
Lawrence,23,118182,19.5,129
Licking,59,356200,16.6,132
Logan,15,90652,16.5,135
Lorain,95,624344,15.2,138
Lucas,129,856588,15.1,141
Madison,13,89118,14.6,144
Mahoning,72,452150,15.9,147
Marion,23,129640,17.7,150
Medina,50,361824,13.8,153
Meigs,7,45356,15.4,156
Mercer,9,82548,10.9,159
Miami,29,215032,13.5,162
Monroe,7,27172,25.8,165
Montgomery,159,1063220,15.0,168
Morgan,6,28610,21.0,171
Morrow,13,70822,18.4,174
Muskingum,22,172040,12.8,177
Noble,1,28728,3.5,180
Ottawa,9,80506,11.2,183
Paulding,7,37296,18.8,186
Perry,16,72430,22.1,189
Pickaway,18,117316,15.3,192
Pike,7,55390,12.6,195
Portage,50,325166,15.4,198
Preble,13,81672,15.9,201
Putnam,6,67308,8.9,204
Richland,39,241782,16.1,207
Ross,20,152840,13.1,210
Sandusky,16,116702,13.7,213
Scioto,17,148694,11.4,216
Seneca,13,109876,11.8,219
Shelby,16,96674,16.6,222
Stark,128,739544,17.3,225
Summit,168,1077732,15.6,228
Trumbull,59,393600,15.0,231
Tuscarawas,29,183552,15.8,234
Union,13,120042,10.8,237
Van Wert,3,56318,5.3,240
Vinton,4,25944,15.4,243
Warren,68,476824,14.3,246
Washington,17,119304,14.2,249
Wayne,31,231388,13.4,252
Williams,13,73130,17.8,255
Wood,29,262226,11.1,258
Wyandot,7,43422,16.1,261
Total,3405,23386434,14.6,264
